user_id,partner_id,signup_days,age_group,kyc_status,uses_payments,uses_lending,uses_investing,uses_insurance,product_count,logins_30d,txn_count_30d,txn_volume_30d,support_tickets_30d,feature_clicks_30d,days_since_last_login,days_since_last_txn,recency,frequency,monetary,lifecycle_stage,churned,days_to_churn
U000000,WALLET_GO,53,25-34,failed,1,0,1,0,2,8,58,8876.3,0,52,22,2,2,58,8876.3,Active,0,254
U000001,LEND_NOW,527,18-24,failed,1,0,1,0,2,44,38,9986.66,0,58,48,91,91,38,9986.66,Dormant,0,652
U000002,WALLET_GO,177,25-34,pending,1,1,0,0,2,1,1,2252.75,4,6,43,12,12,1,2252.75,Dormant,0,517
U000003,INVEST_X,520,45-54,verified,1,1,0,0,2,13,7,156.16,0,68,29,17,17,7,156.16,Active,0,504
U000004,PAY_CORP,419,25-34,verified,1,1,0,0,2,25,40,9130.82,0,116,3,103,103,40,9130.82,Champion,0,221
U000005,INSURE_IT,169,18-24,verified,0,0,0,0,0,41,39,2071.13,4,40,28,27,27,39,2071.13,Champion,0,489
U000006,WALLET_GO,353,25-34,verified,0,0,0,1,1,33,22,4133.73,1,41,45,118,118,22,4133.73,Dormant,0,513
U000007,WALLET_GO,55,55+,pending,1,1,0,0,2,40,38,6029.63,1,81,69,52,52,38,6029.63,Churned,0,207
U000008,PAY_CORP,514,25-34,verified,1,0,0,0,1,19,21,161.94,3,56,32,48,48,21,161.94,Dormant,0,472
U000009,LEND_NOW,239,25-34,verified,1,1,1,0,3,38,28,9628.09,3,68,3,20,20,28,9628.09,Champion,0,459
U000010,LEND_NOW,294,18-24,verified,1,0,0,0,1,14,10,5498.62,0,37,88,84,84,10,5498.62,Churned,0,183
U000011,INSURE_IT,138,25-34,verified,1,0,0,0,1,7,57,714.61,3,112,17,67,67,57,714.61,Active,0,528
U000012,INVEST_X,281,45-54,pending,1,1,1,0,3,40,37,8858.77,5,45,44,44,44,37,8858.77,Dormant,0,379
U000013,WALLET_GO,303,45-54,verified,1,0,0,0,1,29,16,10762.76,1,47,52,36,36,16,10762.76,Dormant,1,46
U000014,LEND_NOW,185,25-34,verified,1,0,0,0,1,2,40,1088.95,1,119,3,86,86,40,1088.95,At-Risk,0,397
U000015,PAY_CORP,705,45-54,verified,1,0,1,1,3,17,34,1754.15,4,59,56,82,82,34,1754.15,Dormant,1,128
U000016,INVEST_X,223,25-34,verified,1,1,1,0,3,8,16,1258.44,2,88,82,107,107,16,1258.44,Churned,0,538
U000017,PAY_CORP,154,45-54,verified,1,0,1,0,2,21,7,781.32,5,20,60,1,1,7,781.32,Churned,0,241
U000018,WALLET_GO,408,18-24,verified,1,0,0,0,1,30,40,1197.38,4,33,69,6,6,40,1197.38,Churned,1,56
U000019,INVEST_X,250,25-34,pending,0,1,1,1,3,6,23,5827.05,2,92,14,61,61,23,5827.05,Active,0,546
U000020,WALLET_GO,343,45-54,failed,1,0,1,0,2,41,15,3956.27,4,32,38,20,20,15,3956.27,Dormant,1,127
U000021,LEND_NOW,530,55+,verified,1,0,1,0,2,43,15,2817.63,5,117,89,118,118,15,2817.63,Churned,0,668
U000022,INSURE_IT,83,45-54,pending,1,1,0,0,2,29,9,4220.2,3,10,49,61,61,9,4220.2,Dormant,0,419
U000023,WALLET_GO,381,35-44,verified,1,0,0,0,1,11,41,66.07,1,117,81,96,96,41,66.07,Churned,1,98
U000024,WALLET_GO,44,45-54,verified,1,0,0,0,1,10,56,3533.14,5,81,62,96,96,56,3533.14,Churned,1,100
U000025,PAY_CORP,60,35-44,verified,1,0,1,1,3,38,45,3160.95,4,57,59,14,14,45,3160.95,Dormant,0,397
U000026,LEND_NOW,93,25-34,pending,0,0,0,0,0,19,13,1294.96,3,19,49,58,58,13,1294.96,Dormant,0,290
U000027,PAY_CORP,141,25-34,pending,0,1,0,0,1,2,51,3760.24,3,63,25,39,39,51,3760.24,At-Risk,0,275
U000028,PAY_CORP,271,35-44,verified,1,0,1,1,3,18,28,1890.26,4,46,62,78,78,28,1890.26,Churned,0,468
U000029,INVEST_X,675,35-44,verified,1,0,0,0,1,35,14,6722.38,3,35,71,104,104,14,6722.38,Churned,1,15
U000030,WALLET_GO,655,45-54,pending,1,0,0,0,1,28,25,1553.76,3,70,40,48,48,25,1553.76,Dormant,1,8
U000031,INSURE_IT,101,25-34,verified,1,0,1,0,2,35,38,3800.82,5,116,47,8,8,38,3800.82,Dormant,0,674
U000032,LEND_NOW,713,18-24,verified,1,0,0,0,1,30,39,1572.7,2,83,57,3,3,39,1572.7,Dormant,0,568
U000033,LEND_NOW,468,25-34,verified,1,1,0,0,2,11,30,61.88,5,13,68,84,84,30,61.88,Churned,0,693
U000034,LEND_NOW,412,45-54,verified,0,0,0,1,1,25,27,4204.69,0,116,45,19,19,27,4204.69,Dormant,0,387
U000035,PAY_CORP,576,18-24,verified,1,1,0,0,2,25,32,551.68,0,93,32,9,9,32,551.68,Dormant,0,601
U000036,PAY_CORP,364,45-54,verified,1,0,0,0,1,44,44,1119.43,1,92,0,68,68,44,1119.43,Champion,0,298
U000037,LEND_NOW,213,18-24,pending,1,0,0,0,1,13,13,1157.48,1,67,48,30,30,13,1157.48,Dormant,1,46
U000038,PAY_CORP,395,25-34,verified,1,0,1,0,2,14,17,4997.69,2,7,62,66,66,17,4997.69,Churned,0,398
U000039,INVEST_X,530,45-54,verified,1,1,0,0,2,9,42,5226.31,1,77,6,118,118,42,5226.31,Active,0,355
U000040,LEND_NOW,501,25-34,verified,1,0,0,1,2,17,43,15408.67,1,73,73,44,44,43,15408.67,Churned,0,521
U000041,WALLET_GO,147,45-54,verified,1,1,1,1,4,27,37,60.72,2,75,49,106,106,37,60.72,Dormant,1,86
U000042,WALLET_GO,677,18-24,verified,0,1,0,0,1,19,46,990.66,3,45,58,22,22,46,990.66,Dormant,0,575
U000043,LEND_NOW,226,35-44,verified,1,0,0,1,2,32,54,1056.63,3,52,3,47,47,54,1056.63,Champion,0,537
U000044,WALLET_GO,595,35-44,verified,1,1,0,0,2,2,22,7562.18,2,66,54,21,21,22,7562.18,Dormant,0,591
U000045,WALLET_GO,245,45-54,failed,0,0,0,0,0,32,36,3097.62,5,62,22,81,81,36,3097.62,Champion,0,523
U000046,LEND_NOW,73,18-24,verified,1,0,1,0,2,40,51,1739.13,1,98,79,26,26,51,1739.13,Churned,0,332
U000047,PAY_CORP,717,25-34,verified,1,1,0,0,2,37,41,5527.61,5,83,76,55,55,41,5527.61,Churned,1,129
U000048,INVEST_X,436,35-44,pending,0,0,0,1,1,20,10,130.79,4,60,40,21,21,10,130.79,Dormant,0,673
U000049,PAY_CORP,178,55+,verified,1,0,0,1,2,32,20,340.46,2,114,73,5,5,20,340.46,Churned,0,211
U000050,PAY_CORP,30,45-54,verified,1,0,0,0,1,34,36,5504.15,3,21,43,119,119,36,5504.15,Onboarding,1,87
U000051,PAY_CORP,119,45-54,failed,1,0,1,0,2,17,11,1670.5,1,49,37,100,100,11,1670.5,Dormant,0,286
U000052,WALLET_GO,147,35-44,verified,1,0,0,1,2,16,45,1067.13,4,33,61,83,83,45,1067.13,Churned,1,85
U000053,INVEST_X,668,35-44,verified,1,0,0,0,1,44,56,16139.34,4,53,37,94,94,56,16139.34,Dormant,0,703
U000054,WALLET_GO,152,45-54,verified,1,0,1,0,2,37,34,6609.31,3,21,28,11,11,34,6609.31,Champion,0,403
U000055,WALLET_GO,141,45-54,failed,1,1,0,0,2,43,36,6530.07,4,21,15,115,115,36,6530.07,Champion,1,69
U000056,LEND_NOW,608,45-54,verified,1,0,0,1,2,39,40,9914.02,1,75,34,76,76,40,9914.02,Dormant,0,243
U000057,INVEST_X,636,45-54,pending,1,0,0,1,2,20,28,2798.21,0,80,74,9,9,28,2798.21,Churned,0,639
U000058,PAY_CORP,174,45-54,verified,1,0,0,0,1,17,42,16385.08,0,58,7,111,111,42,16385.08,Champion,0,319
U000059,PAY_CORP,478,18-24,verified,1,1,0,0,2,43,59,14809.59,3,110,17,24,24,59,14809.59,Champion,0,343
U000060,INVEST_X,398,25-34,pending,1,1,1,0,3,22,19,9075.54,3,56,6,32,32,19,9075.54,Champion,0,667
U000061,LEND_NOW,428,55+,failed,1,1,0,0,2,44,15,6157.36,4,63,6,34,34,15,6157.36,Champion,0,476
U000062,INVEST_X,244,35-44,verified,1,0,1,0,2,28,28,3513.2,2,26,70,21,21,28,3513.2,Churned,1,24
U000063,WALLET_GO,548,18-24,verified,0,1,1,0,2,33,42,2473.68,0,28,58,73,73,42,2473.68,Dormant,0,497
U000064,INVEST_X,637,35-44,pending,1,0,1,0,2,32,45,2366.64,3,62,78,77,77,45,2366.64,Churned,0,592
U000065,INVEST_X,530,35-44,verified,1,0,0,0,1,36,13,3361.01,3,55,81,115,115,13,3361.01,Churned,0,462
U000066,INVEST_X,653,45-54,verified,1,1,0,0,2,6,56,8005.81,0,34,62,93,93,56,8005.81,Churned,0,265
U000067,LEND_NOW,106,45-54,verified,1,0,0,0,1,5,26,5124.77,0,56,80,99,99,26,5124.77,Churned,0,230
U000068,PAY_CORP,483,18-24,failed,1,1,0,0,2,13,29,4178.11,4,31,65,37,37,29,4178.11,Churned,1,130
U000069,LEND_NOW,719,25-34,verified,1,0,0,0,1,12,22,6271.82,1,28,82,105,105,22,6271.82,Churned,0,590
